date,Date,arrivals,departures
1/03/1989,3/01/1989,331370,368860
1/04/1989,4/01/1989,319520,335530
1/05/1989,5/01/1989,273980,317230
1/06/1989,6/01/1989,301200,333720
1/07/1989,7/01/1989,393340,334230
1/08/1989,8/01/1989,339770,353870
1/09/1989,9/01/1989,355370,359740
1/10/1989,10/01/1989,409620,309630
1/11/1989,11/01/1989,363310,330540
1/12/1989,12/01/1989,383620,427930
1/01/1990,1/01/1990,452820,387050
1/02/1990,2/01/1990,371630,313190
1/03/1990,3/01/1990,343680,376850
1/04/1990,4/01/1990,357690,392560
1/05/1990,5/01/1990,309910,353870
1/06/1990,6/01/1990,324620,369210
1/07/1990,7/01/1990,417790,366080
1/08/1990,8/01/1990,379690,383880
1/09/1990,9/01/1990,386910,393820
1/10/1990,10/01/1990,439720,327440
1/11/1990,11/01/1990,374430,359240
1/12/1990,12/01/1990,399410,446890
1/01/1991,1/01/1991,462080,386150
1/02/1991,2/01/1991,350090,317430
1/03/1991,3/01/1991,349970,382100
1/04/1991,4/01/1991,306940,359060
1/05/1991,5/01/1991,308760,349140
1/06/1991,6/01/1991,342200,379590
1/07/1991,7/01/1991,427590,380580
1/08/1991,8/01/1991,387990,395000
1/09/1991,9/01/1991,400080,405480
1/10/1991,10/01/1991,459600,374220
1/11/1991,11/01/1991,406660,405390
1/12/1991,12/01/1991,415330,459790
1/01/1992,1/01/1992,477800,406820
1/02/1992,2/01/1992,412270,369510
1/03/1992,3/01/1992,375660,408640
1/04/1992,4/01/1992,379300,416200
1/05/1992,5/01/1992,341990,386380
1/06/1992,6/01/1992,342030,383410
1/07/1992,7/01/1992,462380,420230
1/08/1992,8/01/1992,403510,405760
1/09/1992,9/01/1992,408210,426990
1/10/1992,10/01/1992,491610,382200
1/11/1992,11/01/1992,440730,428900
1/12/1992,12/01/1992,454560,518370
1/01/1993,1/01/1993,538170,464360
1/02/1993,2/01/1993,430970,382000
1/03/1993,3/01/1993,415040,439640
1/04/1993,4/01/1993,405630,442680
1/05/1993,5/01/1993,379360,431270
1/06/1993,6/01/1993,377660,428890
1/07/1993,7/01/1993,491930,422610
1/08/1993,8/01/1993,437710,449060
1/09/1993,9/01/1993,439160,450600
1/10/1993,10/01/1993,534730,428420
1/11/1993,11/01/1993,464410,461470
1/12/1993,12/01/1993,494540,537520
1/01/1994,1/01/1994,548980,491910
1/02/1994,2/01/1994,488610,440930
1/03/1994,3/01/1994,480920,505780
1/04/1994,4/01/1994,440430,472800
1/05/1994,5/01/1994,385850,444760
1/06/1994,6/01/1994,414640,457040
1/07/1994,7/01/1994,545960,470330
1/08/1994,8/01/1994,472530,489370
1/09/1994,9/01/1994,485960,487550
1/10/1994,10/01/1994,573290,465300
1/11/1994,11/01/1994,501920,498110
1/12/1994,12/01/1994,547100,586330
1/01/1995,1/01/1995,615700,547520
1/02/1995,2/01/1995,523840,467050
1/03/1995,3/01/1995,498110,535590
1/04/1995,4/01/1995,499280,527090
1/05/1995,5/01/1995,434660,489830
1/06/1995,6/01/1995,462410,489780
1/07/1995,7/01/1995,603750,529090
1/08/1995,8/01/1995,525500,545760
1/09/1995,9/01/1995,520050,530250
1/10/1995,10/01/1995,613300,492200
1/11/1995,11/01/1995,550600,548110
1/12/1995,12/01/1995,603410,642570
1/01/1996,1/01/1996,660750,589600
1/02/1996,2/01/1996,609000,533700
1/03/1996,3/01/1996,571570,615950
1/04/1996,4/01/1996,559260,572890
1/05/1996,5/01/1996,455620,516620
1/06/1996,6/01/1996,525410,570800
1/07/1996,7/01/1996,646890,573120
1/08/1996,8/01/1996,574070,602730
1/09/1996,9/01/1996,578680,584500
1/10/1996,10/01/1996,672550,546830
1/11/1996,11/01/1996,609270,594460
1/12/1996,12/01/1996,658620,699870
1/01/1997,1/01/1997,703800,647560
1/02/1997,2/01/1997,635280,564610
1/03/1997,3/01/1997,619190,650090
1/04/1997,4/01/1997,552390,591240
1/05/1997,5/01/1997,501710,568410
1/06/1997,6/01/1997,547250,597400
1/07/1997,7/01/1997,710680,615970
1/08/1997,8/01/1997,593040,632500
1/09/1997,9/01/1997,619970,619600
1/10/1997,10/01/1997,710200,584500
1/11/1997,11/01/1997,633830,629570
1/12/1997,12/01/1997,647930,689030
1/01/1998,1/01/1998,712230,650840
1/02/1998,2/01/1998,611750,551750
1/03/1998,3/01/1998,574840,610800
1/04/1998,4/01/1998,597840,638750
1/05/1998,5/01/1998,532880,595200
1/06/1998,6/01/1998,560350,597990
1/07/1998,7/01/1998,696680,609210
1/08/1998,8/01/1998,614090,651940
1/09/1998,9/01/1998,628740,621360
1/10/1998,10/01/1998,731040,616930
1/11/1998,11/01/1998,638220,634820
1/12/1998,12/01/1998,680870,711310
1/01/1999,1/01/1999,754350,702550
1/02/1999,2/01/1999,653350,575130
1/03/1999,3/01/1999,635700,665650
1/04/1999,4/01/1999,601850,639760
1/05/1999,5/01/1999,550000,594910
1/06/1999,6/01/1999,566700,619670
1/07/1999,7/01/1999,734920,638160
1/08/1999,8/01/1999,645450,699270
1/09/1999,9/01/1999,674170,675640
1/10/1999,10/01/1999,776210,639720
1/11/1999,11/01/1999,686390,672210
1/12/1999,12/01/1999,696410,722510
1/01/2000,1/01/2000,753440,723440
1/02/2000,2/01/2000,708940,624840
1/03/2000,3/01/2000,663510,702200
1/04/2000,4/01/2000,707500,741110
1/05/2000,5/01/2000,594550,661340
1/06/2000,6/01/2000,615350,664860
1/07/2000,7/01/2000,794190,687860
1/08/2000,8/01/2000,679450,728810
1/09/2000,9/01/2000,753310,715560
1/10/2000,10/01/2000,821590,735140
1/11/2000,11/01/2000,759550,759430
1/12/2000,12/01/2000,820560,871220
1/01/2001,1/01/2001,874790,821560
1/02/2001,2/01/2001,733150,636500
1/03/2001,3/01/2001,707640,749700
