source,target,year,type,visitors
root.Australia,root.Oceania,2016,Departure,10732720
root.Australia,root.Oceania,2017,Departure,11250120
root.Australia,root.Oceania,2018,Departure,11680570
root.Australia,root.Oceania,2019,Departure,11891420
root.Australia,root.Oceania,2020,Departure,2112930
root.Australia,root.Oceania,2021,Departure,584670
root.Australia,root.Oceania,2022,Departure,6298180
root.Australia,root.Oceania,2023,Departure,10884680
root.Australia,root.Oceania,2024,Departure,12324230
root.Australia,root.Oceania,2025,Departure,13216240
root.Australia,root.South America,2000,Departure,33990
root.Australia,root.South America,2001,Departure,31780
root.Australia,root.South America,2002,Departure,26670
root.Australia,root.South America,2003,Departure,25550
root.Australia,root.South America,2004,Departure,29080
root.Australia,root.South America,2005,Departure,34340
root.Australia,root.South America,2006,Departure,41690
root.Australia,root.South America,2007,Departure,49830
root.Australia,root.South America,2008,Departure,61030
root.Australia,root.South America,2009,Departure,69300
root.Australia,root.South America,2010,Departure,71890
root.Australia,root.South America,2011,Departure,78170
root.Australia,root.South America,2012,Departure,89540
root.Australia,root.South America,2013,Departure,97620
root.Australia,root.South America,2014,Departure,108230
root.Australia,root.South America,2015,Departure,111670
root.Australia,root.South America,2016,Departure,124680
root.Australia,root.South America,2017,Departure,146100
root.Australia,root.South America,2018,Departure,172990
root.Australia,root.South America,2019,Departure,173000
root.Australia,root.South America,2020,Departure,55970
root.Australia,root.South America,2021,Departure,9340
root.Australia,root.South America,2022,Departure,76530
root.Australia,root.South America,2023,Departure,145540
root.Australia,root.South America,2024,Departure,171800
root.Australia,root.South America,2025,Departure,184430
