id,name,parent,count,type
113,Curacao,11,0,Departure
114,Dominica,5,250,Arrival
115,Dominica,11,210,Departure
116,Dominican Republic,5,270,Arrival
117,Dominican Republic,11,240,Departure
118,El Salvador,5,500,Arrival
119,El Salvador,11,450,Departure
120,Greenland,5,0,Arrival
121,Greenland,11,0,Departure
122,Grenada,5,100,Arrival
123,Grenada,11,90,Departure
124,Guadeloupe,5,0,Arrival
125,Guadeloupe,11,0,Departure
126,Guatemala,5,780,Arrival
127,Guatemala,11,530,Departure
128,Haiti,5,0,Arrival
129,Haiti,11,0,Departure
130,Honduras,5,270,Arrival
131,Honduras,11,250,Departure
132,Jamaica,5,530,Arrival
133,Jamaica,11,490,Departure
134,Martinique,5,0,Arrival
135,Martinique,11,0,Departure
136,Mexico,5,18620,Arrival
137,Mexico,11,18170,Departure
138,Montserrat,5,0,Arrival
139,Montserrat,11,0,Departure
140,Nicaragua,5,180,Arrival
141,Nicaragua,11,140,Departure
142,Panama,5,490,Arrival
143,Panama,11,420,Departure
144,Puerto Rico,5,0,Arrival
145,Puerto Rico,11,0,Departure
146,Trinidad and Tobago,5,580,Arrival
147,Trinidad and Tobago,11,520,Departure
148,United States,5,746180,Arrival
149,United States,11,773680,Departure
150,Albania,3,870,Arrival
151,Albania,9,710,Departure
152,Andorra,3,90,Arrival
153,Andorra,9,90,Departure
154,Austria,3,21340,Arrival
155,Austria,9,21030,Departure
156,Belarus,3,1170,Arrival
157,Belarus,9,990,Departure
158,Belgium,3,24570,Arrival
159,Belgium,9,24140,Departure
160,Bosnia and Herzegovina,3,1100,Arrival
161,Bosnia and Herzegovina,9,920,Departure
162,Bulgaria,3,3200,Arrival
163,Bulgaria,9,2920,Departure
164,Croatia,3,4270,Arrival
165,Croatia,9,3970,Departure
166,Cyprus,3,1990,Arrival
167,Cyprus,9,1570,Departure
168,Denmark,3,29550,Arrival
169,Denmark,9,29020,Departure
170,Estonia,3,6830,Arrival
171,Estonia,9,5980,Departure
172,Faroe Islands,3,0,Arrival
173,Faroe Islands,9,0,Departure
174,Finland,3,13520,Arrival
175,Finland,9,11970,Departure
176,France,3,228360,Arrival
177,France,9,222210,Departure
178,Germany,3,213390,Arrival
179,Germany,9,212050,Departure
180,Gibraltar,3,0,Arrival
181,Gibraltar,9,0,Departure
182,Greece,3,8490,Arrival
183,Greece,9,6810,Departure
184,Hungary,3,9190,Arrival
185,Hungary,9,8010,Departure
186,Iceland,3,1020,Arrival
187,Iceland,9,840,Departure
188,Ireland,3,148690,Arrival
189,Ireland,9,148610,Departure
190,Italy,3,112570,Arrival
191,Italy,9,111430,Departure
192,Latvia,3,2360,Arrival
193,Latvia,9,1980,Departure
194,Liechtenstein,3,180,Arrival
195,Liechtenstein,9,150,Departure
196,Lithuania,3,4750,Arrival
197,Lithuania,9,4150,Departure
198,Luxembourg,3,1220,Arrival
199,Luxembourg,9,1050,Departure
200,Malta,3,2570,Arrival
201,Malta,9,2170,Departure
202,Moldova,3,200,Arrival
203,Moldova,9,190,Departure
204,Monaco,3,70,Arrival
205,Monaco,9,50,Departure
206,Montenegro,3,310,Arrival
207,Montenegro,9,250,Departure
208,Netherlands,3,79380,Arrival
209,Netherlands,9,78730,Departure
210,North Macedonia,3,2680,Arrival
211,North Macedonia,9,2520,Departure
212,Norway,3,21450,Arrival
213,Norway,9,21410,Departure
214,Poland,3,30320,Arrival
215,Poland,9,29300,Departure
216,Portugal,3,19030,Arrival
217,Portugal,9,18850,Departure
218,Romania,3,7250,Arrival
219,Romania,9,6110,Departure
220,San Marino,3,20,Arrival
221,San Marino,9,20,Departure
222,Serbia,3,3310,Arrival
223,Serbia,9,2980,Departure
224,Slovakia,3,5620,Arrival
225,Slovakia,9,5540,Departure
226,Slovenia,3,2790,Arrival
227,Slovenia,9,2650,Departure
228,Spain,3,55830,Arrival
229,Spain,9,56340,Departure
230,Sweden,3,36170,Arrival
231,Sweden,9,34990,Departure
232,Switzerland,3,38940,Arrival
233,Switzerland,9,38610,Departure
234,Ukraine,3,7360,Arrival
235,Ukraine,9,6260,Departure
236,United Kingdom,3,954050,Arrival
237,United Kingdom,9,913100,Departure
238,Russia,2,22770,Arrival
239,Russia,8,21510,Departure
240,Afghanistan,2,17920,Arrival
241,Afghanistan,8,16850,Departure
242,Armenia,2,490,Arrival
243,Armenia,8,440,Departure
244,Azerbaijan,2,540,Arrival
245,Azerbaijan,8,490,Departure
246,Bahrain,2,370,Arrival
247,Bahrain,8,270,Departure
248,Bangladesh,2,52800,Arrival
249,Bangladesh,8,46070,Departure
250,Bhutan,2,13160,Arrival
251,Bhutan,8,11780,Departure
252,Brunei,2,6020,Arrival
253,Brunei,8,5690,Departure
254,Cambodia,2,26300,Arrival
255,Cambodia,8,24850,Departure
256,China,2,1501850,Arrival
257,China,8,1486490,Departure
258,Georgia,2,370,Arrival
259,Georgia,8,270,Departure
